Category,Item,Link to purchase,Comments,Quantity,Price per item (Dollars $),Total Price (Dollars $)
Leg Linkage Mechanism,Servo Motors,https://www.aliexpress.com/item/1005004670681332.html?spm=a2g0o.cart.0.0.35d338daLsP2P7&mp=1,"180 degrees, 35kg",12,44.49 ,533.87 
Leg Linkage Mechanism,Heatsinks,https://www.aliexpress.com/item/1005003322560236.html?spm=a2g0o.store_pc_allProduct.8148356.1.3cde2185u8rZqp&pdp_npi=3%40dis%21AUD%21AU%20%242.02%21AU%20%241.78%21%21%21%21%21%4021038eda16844920319923588e1d6f%2112000027317325890%21sh%21AU%213891807975,"6mm, black. Cut in half for each leg motor",4,1.77 ,7.08 
Leg Linkage Mechanism,Thrust Bearings (legs),https://www.aliexpress.com/item/32834429523.html?spm=a2g0o.store_pc_allProduct.8148356.2.83517b6fpzvGzT&pdp_npi=3%40dis%21AUD%21AU%20%2414.15%21AU%20%2413.16%21%21%21%21%21%402101e9d316844918858472057e6f41%2165019907727%21sh%21AU%213891807975,F4-10M 4x10x4mm,1,12.49 ,12.49 
Leg Linkage Mechanism,Bearing,https://www.amazon.com.au/dp/B0B25351KS?ref_=pe_19115062_429603572_302_E_DDE_dt_1,20x 684ZZ Mini Deep Groove Ball Bearing 4x9x4mm,1,11.29 ,11.29 
Leg Linkage Mechanism,Bearing,https://www.aliexpress.com/item/632552645.html?spm=a2g0o.productlist.main.1.172f7205J92lTn&algo_pvid=6f8cd59d-f4bd-4a65-a063-bc627455127a&algo_exp_id=6f8cd59d-f4bd-4a65-a063-bc627455127a-0&pdp_npi=3%40dis%21AUD%2113.26%2113.26%21%21%21%21%21%40211bd8be16844915923837486d07c3%2165845112152%21sea%21AU%213891807975&curPageLogUid=3ZmsIbJpg1lW,6705-2RS 25X32X4,4,4.57 ,18.28 
Leg Linkage Mechanism,Servo horns,https://www.aliexpress.com/item/1005001485067326.html?spm=a2g0o.store_pc_allProduct.8148356.2.597d5530ZMIYkS&pdp_npi=3%40dis%21AUD%21AU%20%243.56%21AU%20%242.67%21%21%21%21%21%402101d8f416844919484488898e1367%2112000016307456024%21sh%21AU%213891807975,RC Car Steering Servo Horn Arm 25T Teeth Long,4,2.36 ,9.44 
Leg Linkage Mechanism,"Threaded rods, long",https://www.aliexpress.com/item/1005004660730267.html?spm=a2g0o.detail.1000023.16.1569213ad8nkQv,M3 x 110mm (5pcs),1,1.26 ,1.26 
Leg Linkage Mechanism,"Threaded rods,short",https://www.aliexpress.com/item/1005004660730267.html?spm=a2g0o.detail.1000023.16.1569213ad8nkQv,M3 x 25 (5pcs),1,1.14 ,1.14 
Leg Linkage Mechanism,"Rod ends,Long",https://www.aliexpress.com/item/32878321408.html?spm=a2g0o.detail.1000023.6.64cd339bFmvU9y,"10pcs, 015 M3 With Screw",1,5.19 ,5.19 
Leg Linkage Mechanism,Rod ends Short,https://www.aliexpress.com/item/32878321408.html?spm=a2g0o.detail.1000023.6.64cd339bFmvU9y,"10pcs,  012 M3 With Screw",1,5.19 ,5.19 
